"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PROL1",8.1884637362785,-11.0939802831413,1.77489112226709,-6.25051314075581,4.09106309485272e-10,7.69569878772745e-06
"MYH1",5.85996822791556,-27.2475722528093,4.54454883236223,-5.99566057223908,2.02659930387961e-09,1.76639735421167e-05
"GPR50",6.94641135846583,-27.007426146768,4.54523743621532,-5.94191756223328,2.81707089609006e-09,1.76639735421167e-05
"POSTN",903.391794687041,6.13883176880558,1.09065275787787,5.62858501430846,1.81693945261105e-08,8.54461201076661e-05
"CERS3",683.251243259059,-2.46373700362476,0.465335794794631,-5.29453575500696,1.19319142717081e-07,0.000448902478730203
"F5",297.85743851908,-4.16440158764307,0.81461458817958,-5.11211270712603,3.18575650869565e-07,0.000780154080952277
"MANSC1",1300.34884328211,-1.61904472881592,0.317183997451662,-5.10443383595561,3.31786329680411e-07,0.000780154080952277
"XDH",3224.21190241569,-2.07224207465069,0.402384188242096,-5.14990930360296,2.60612451315344e-07,0.000780154080952277
"EDIL3",366.635683102424,-2.56054156170862,0.507114502743284,-5.04923749539231,4.43577002923604e-07,0.00092712522244399
"LOC101927416",855.653267002785,3.18822770859276,0.637412453406426,5.00182839471428,5.67891301725782e-07,0.00106826032767637
"TNFSF13B",880.352952800252,-3.52391303972622,0.708855908861787,-4.97126848442948,6.65162606224778e-07,0.00113748852597221
"IRG1",132.137041996145,-11.8890972923556,2.42181009762806,-4.90917818205476,9.14588518441796e-07,0.00139027104587867
"ALOX15",92039.5299271401,2.64212168540859,0.539599063006208,4.89645343468321,9.75817578194244e-07,0.00139027104587867
"MCTP1",411.025374935201,-2.28756599231467,0.468291288113016,-4.88492109586842,1.03470281443312e-06,0.00139027104587867
"EREG",919.756733591459,-3.53581954750661,0.738362900409283,-4.78872861237565,1.67841281782179e-06,0.00200862081391605
"HSD17B13",2672.12435317659,2.8539110181493,0.599377943593852,4.76145485273839,1.92202299986651e-06,0.00200862081391605
"CNR1",15.1529542033089,-3.48778988776437,0.730809795204346,-4.77250019177579,1.81952935288174e-06,0.00200862081391605
"MAN1A1",2456.42852481575,-1.42518997872769,0.29879112401401,-4.76985380148329,1.84359672688019e-06,0.00200862081391605
"PLXDC2",675.791355787453,-2.58095189678287,0.544015938694074,-4.74425786674287,2.09272128261658e-06,0.00207190421301581
"CLEC2B",1095.221237207,-2.20802235619993,0.466665601644902,-4.73148727572185,2.2288079091377e-06,0.00209630527893946
"PRR32",54.7710837776979,4.83913998995199,1.02565892768924,4.71807913850498,2.38081885476916e-06,0.00213264683224108
"GBP2",3566.63373793785,-2.57331614435587,0.548007781911944,-4.69576569766552,2.65609862511933e-06,0.00227108505623272
"SNX10",618.867351239289,-3.44536062818943,0.735786038895074,-4.68255776280195,2.83317314602387e-06,0.00231716608912413
"NGRN",6150.39874173201,1.00501724861708,0.215034503366219,4.67374878395892,2.95751059483695e-06,0.00231807215831158
"SAMD9",2612.35303571851,-2.81290779492668,0.603085141871165,-4.66419681008753,3.09824755361045e-06,0.00233124538923865
"SLC39A2",197.147125472978,-3.15698546655261,0.682519101401382,-4.62549027576009,3.73713340586489e-06,0.00270381601914325
"DIO1",61.7775072722266,2.93282886135828,0.639565281070468,4.58565989768782,4.52554770155659e-06,0.00272607536136589
"CPM",1420.1296153178,-1.96769676347172,0.428181531001171,-4.59547323040969,4.31768225009848e-06,0.00272607536136589
