"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"GP1BB",0.141938798551398,-0.182683775050514,3.51538189147502,0.00101264821487382,0.418018717592144,-0.815210213847927
"LOC100506990",0.101574491175867,4.12169889061446,3.51374903494513,0.00101753671764427,0.418018717592144,-0.859686295414946
"TCTEX1D2",0.142024066905801,3.73027588443954,3.49422616247894,0.00107776044015841,0.418018717592144,-0.893005870172657
"ARHGEF10L",-0.0376291165347071,6.0897054588448,-3.49199630126578,0.0010848519350566,0.418018717592144,-1.01213263898373
"KIF4A",0.110019184087582,0.986321666646545,3.48322785962239,0.00111317243671364,0.418018717592144,-0.859920955912617
"TCTEX1D4",0.139957721487417,4.4043569591073,3.46858469243553,0.00116204809016611,0.418018717592144,-0.997788471815298
"CCDC60",0.09915667178715,4.06965693921785,3.45107480932644,0.00122318352956534,0.418018717592144,-1.02307156274425
"TPPP3",0.16198380054916,7.8886330005788,3.44875854596171,0.0012314969607245,0.418018717592144,-1.18356362393305
"FRMPD3",-0.141574853829481,-2.49066540354009,-3.44589414941746,0.00124185229521505,0.418018717592144,-1.1795418238149
"RAPGEF3",-0.0496706962002589,4.61593655978268,-3.44502933052847,0.00124499507057288,0.418018717592144,-1.0628744050377
"MANSC1",-0.0657904088857808,4.77702829832655,-3.43342728222111,0.00128789775070385,0.418018717592144,-1.10106698063154
"TM4SF19-TCTEX1D2",0.13058400397247,2.74469159019427,3.42772134302431,0.00130951117463772,0.418018717592144,-1.0248335999526
"IQUB",0.177385271895398,1.89394908743325,3.41981251879948,0.00134004136737987,0.418018717592144,-1.02153490796028
"PTK6",-0.0531047849515203,5.57212240844055,-3.41457553379505,0.00136062961921075,0.418018717592144,-1.19391753953651
"ANKUB1",0.170125908620498,3.16301800315697,3.40436074714419,0.00140165770836227,0.418018717592144,-1.10155345795217
"RRAD",0.152303317047489,6.7010624886749,3.40251254150661,0.00140920591664436,0.418018717592144,-1.2762107961509
"STMND1",0.15828067109641,1.72042885479859,3.36570039232578,0.00156786255691222,0.418018717592144,-1.15403476464687
"NRAV",0.104755291611717,4.40586183811419,3.34525371198352,0.00166318240988181,0.418018717592144,-1.31937926517738
"KIF9",0.106571497830699,4.42290317084226,3.34205649075991,0.0016785766674188,0.418018717592144,-1.3289733201359
"TMCO4",-0.0418352825259464,6.42391742563408,-3.34162193746367,0.00168067941687491,0.418018717592144,-1.42772121537956
"CRIP1",0.102172386040104,7.25434750638457,3.33483839913158,0.00171383043070435,0.418018717592144,-1.47516579985483
"PPIAP30",0.149493669264416,-4.03820442142019,3.33204959321558,0.00172763869919144,0.418018717592144,-1.54609119320297
"AGR3",0.119104573588392,4.56438072259189,3.32769899255336,0.00174939117067238,0.418018717592144,-1.37501151194052
"LINC01571",0.219791603082799,0.625609718828545,3.31774721538604,0.0018001311053579,0.418018717592144,-1.26765864450154
"ALS2CR12",0.158788106981167,1.23964474521545,3.29953506062486,0.00189662625069279,0.418018717592144,-1.31124131117457
"DPCD",0.121891633965488,4.70381759593006,3.29353740036334,0.00192946454322943,0.418018717592144,-1.4710453815921
"LOC101927416",0.194880596094449,3.2047243478367,3.29352724568336,0.0019295205966412,0.418018717592144,-1.38821868997836
"CFAP54",0.159114033893592,2.61930399353258,3.28581747554345,0.00197252694419852,0.418018717592144,-1.38128793246328
"MORN5",0.226887606514545,3.49926662321329,3.28444707434852,0.00198026580147523,0.418018717592144,-1.42568959855436
"PART1",0.106482650776193,3.18713151337902,3.27457101928947,0.00203689474297832,0.418018717592144,-1.433154582935
"TMEM190",0.233023495318373,5.4859549409223,3.2703161605686,0.00206176216520245,0.418018717592144,-1.56730397309235
"TNRC6C-AS1",-0.0555830713805619,3.63879422895755,-3.2698419975768,0.00206455115188483,0.418018717592144,-1.46361497789324
"C11orf74",0.124496977807932,3.10165058761409,3.26620099977162,0.00208608664874394,0.418018717592144,-1.45104790471587
"CYP2A6",0.112377994073149,5.87355577900531,3.26593804703479,0.00208765015591643,0.418018717592144,-1.6047814968626
"ACAD8",-0.0501166141979519,6.3889302684978,-3.25052727126232,0.00218124640826588,0.418018717592144,-1.66452715737096
"CAPS",0.177116076513933,8.90562277507351,3.24616400379062,0.00220845991926089,0.418018717592144,-1.73532972087923
"LOC101928973",0.2303467679655,-2.07507115665137,3.24608241531939,0.00220897183199948,0.418018717592144,-1.54881211508378
"MORN2",0.127827409864128,5.3107407476824,3.2442010048031,0.00222080763110177,0.418018717592144,-1.6344648140084
"FANK1",0.120307254489751,4.68707530612746,3.22767991164092,0.00232735003742853,0.418018717592144,-1.63919665658825
"SERPINF1",0.0937533533919298,6.65120961097301,3.22245835966612,0.00236201693608019,0.418018717592144,-1.75137170884874
"MIR6884",0.10535980307999,-1.30515527091642,3.2099039284493,0.00244737798859411,0.418018717592144,-1.58329076993101
"TRIP13",0.110539167202496,3.1522312189144,3.20493894060706,0.002481934511182,0.418018717592144,-1.6065667003999
"HSPB11",0.0712679230408063,4.78456887161036,3.20458783426173,0.00248439560767178,0.418018717592144,-1.70328308124174
"SEPT5-GP1BB",0.127723752013283,3.67653494917527,3.20418968488059,0.00248718924566934,0.418018717592144,-1.64023077732201
"TBC1D19",0.0902472734916444,2.13283037733276,3.19892940658999,0.00252437816284783,0.418018717592144,-1.57722873512262
"PPOX",0.117252804252811,5.47990317786854,3.19646871653327,0.0025419544974882,0.418018717592144,-1.76479319068706
"SPA17",0.145775477739429,4.07554501862571,3.19548024495412,0.00254904750429162,0.418018717592144,-1.6840786431416
"TMEM232",0.176918517967584,1.57893721980508,3.18663989269437,0.002613320319117,0.418018717592144,-1.59092339030236
"LOC100131257",0.168512941470355,-0.124882645421172,3.18624391099242,0.00261623478145066,0.418018717592144,-1.58637103362317
"LDLRAD1",0.161264715638602,5.4337788478805,3.18555973931419,0.00262127758473127,0.418018717592144,-1.78867600537627
"FAM183A",0.186062506047537,4.59397321881345,3.18461555823624,0.00262825190991377,0.418018717592144,-1.74277763123739
"RAB3B",0.144093693790079,3.56266576864374,3.1833077134043,0.00263794144363519,0.418018717592144,-1.68435310607935
"MRPL21",0.0498012896391703,4.76933787454523,3.18134699450022,0.00265253120004264,0.418018717592144,-1.76092564449758
"RPS8",0.047599768681035,8.57002920790979,3.17900668327007,0.00267004526897881,0.418018717592144,-1.90626731425395
"SEC16B",-0.0742149890836127,2.82186986810522,-3.1789844453422,0.0026702122123635,0.418018717592144,-1.64729477598581
"MYLK3",0.168355173207015,-0.376988482845569,3.17572822122479,0.00269476382761828,0.418018717592144,-1.61311852932731
"LOC102724094",0.160959216468422,1.65445887645504,3.17427363859147,0.0027057999702069,0.418018717592144,-1.62289229029925
"PAGE5",0.215675862240154,-3.84094884394517,3.17124995144688,0.00272887783095453,0.418018717592144,-1.8489004710242
"C9orf135",0.199251544702231,4.27909610477608,3.16349121553564,0.00278894820457385,0.418018717592144,-1.77717448668746
"ABCD1",-0.0442846392417296,3.78299164464342,-3.16280985847231,0.00279428264949343,0.418018717592144,-1.74322736142819
"FAM104B",0.0768735980165175,3.30765335116473,3.16242624658326,0.0027972902381662,0.418018717592144,-1.72020008091179
"AKAP14",0.227897929273066,2.9639685845629,3.16067168048259,0.00281108533929422,0.418018717592144,-1.70819120267757
"ACYP1",0.0793790647825956,1.96183644793837,3.15839347648321,0.00282909328628281,0.418018717592144,-1.66867567561332
"GLYATL2",-0.174686047516762,-0.62245231177679,-3.1577104610006,0.00283451331696735,0.418018717592144,-1.67336781127704
"CCDC153",0.140594647597042,3.64988430234862,3.15757243266988,0.00283560982213977,0.418018717592144,-1.75476653478896
"BAALC",0.128100564837363,0.550199489533931,3.15193346129417,0.0028807497763769,0.418018717592144,-1.65976318615766
"ZNF474",0.176095080515502,2.83749951517391,3.14581739694606,0.00293047462034624,0.418018717592144,-1.73729880499231
"LOC102723385",0.0772493754127034,0.344612372329821,3.14003017779383,0.00297827013724321,0.418018717592144,-1.68769869123111
"PIH1D3",0.201489112960411,1.90957970114112,3.13971450570835,0.00298089823253062,0.418018717592144,-1.71307786346681
"PRR7",0.103199011155085,2.77128285238063,3.13249155138808,0.00304163277809009,0.418018717592144,-1.77308353822474
"ABCD2",0.161441866012392,-0.278499253297658,3.13181501632196,0.00304738079408496,0.418018717592144,-1.71665425188637
"GDNF",0.193669634881677,-2.22125882965903,3.12712510735558,0.00308750977552535,0.418018717592144,-1.80210326876774
"SEPT5",0.127215127215681,3.5225208301632,3.12521898173741,0.00310396130741272,0.418018717592144,-1.82819537868525
"KCNE1",0.118985002571418,4.72991781350874,3.11734297165368,0.00317281766732878,0.418018717592144,-1.92064306707506
"SEPW1",0.0679298671729563,7.49059173060341,3.11152028775331,0.00322464480107991,0.418018717592144,-2.06068275246217
"RP1",0.250615654219203,1.37691084834734,3.11125302561497,0.00322704270255084,0.418018717592144,-1.76504317850573
"PPP1R42",0.240536526455144,0.739402427808911,3.10971603263646,0.00324086536901003,0.418018717592144,-1.75820943921043
"RHEBL1",0.110583595002078,0.905764189789682,3.10467123685501,0.003286627531046,0.418018717592144,-1.77145910003231
"CAPN5",-0.0468402995174165,8.22645782603849,-3.10281418001413,0.00330362581718713,0.418018717592144,-2.09512510104729
"TMEM107",0.101264532687192,3.95160954614506,3.10269733079163,0.00330469814067882,0.418018717592144,-1.90771216189453
"PPIL6",0.119864420927306,4.69176864710513,3.10196951566086,0.00331138466636071,0.418018717592144,-1.95775962826443
"WDR66",0.155268910872761,5.04587398552058,3.10188074973913,0.00331220104014666,0.418018717592144,-1.97867281606543
"DYNLL1",0.0598041070781277,8.08399833769027,3.09807478917644,0.00334738286874395,0.418018717592144,-2.1069986911263
"CDH26",0.137917404229275,5.34701816274229,3.09612972712781,0.00336549825501666,0.418018717592144,-2.01184290438288
"LOC80078",-0.140657644430282,0.636570019645144,-3.09608517717334,0.0033659142506439,0.418018717592144,-1.78852419242387
"PROL1",-0.226710014922449,-4.86789816134284,-3.09526246560524,0.00337360521336001,0.418018717592144,-2.1156386067255
"C12orf75",0.12032835591567,4.42865957243042,3.09499756214597,0.00337608512958921,0.418018717592144,-1.95812637588939
"COX7A1",0.129972000277103,1.39937568793687,3.09287154648852,0.00339605020809667,0.418018717592144,-1.8095346199869
"CETN2",0.109106470479608,5.79883102879721,3.09175656535973,0.00340656516490599,0.418018717592144,-2.04918394711473
"FHAD1",0.13296432165629,4.39388860666889,3.09016087163784,0.0034216668209783,0.418018717592144,-1.96734001636938
"FAM13C",0.147024337595235,-0.671932446692754,3.08898463873154,0.00343283898695461,0.418018717592144,-1.8225732074141
"PIH1D2",0.128505523735455,2.61549196054791,3.0862673301916,0.00345878000331368,0.418018717592144,-1.87145199116874
"LRGUK",0.139843281155989,2.20011249736109,3.08542334981943,0.00346687457960892,0.418018717592144,-1.853564564038
