"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"DDIT4L",-0.124216886567025,1.9500127867852,-3.47129436383605,0.00115301149553483,0.491110447067948,-0.888174766860023
"FRMPD3",-0.155865280429418,-2.49066540354009,-3.46530857735566,0.00117342163579897,0.491110447067948,-1.24548369438793
"KIF4A",0.120423695576561,0.986321666646545,3.46218920998029,0.00118419420567439,0.491110447067948,-0.929193371382588
"ARHGEF10L",-0.0410136175895296,6.0897054588448,-3.4555108800527,0.00120757573010921,0.491110447067948,-1.05542289241223
"DIO1",0.174446108260101,-0.410824964652581,3.45387120522572,0.00121338340884671,0.491110447067948,-1.03229224524081
"IFT43",0.102408825603855,4.88926075257235,3.43753200358962,0.00127273112591989,0.491110447067948,-1.05653606764954
"UFC1",0.067973887283494,6.89750427919462,3.42946618245603,0.0013030390058205,0.491110447067948,-1.15725214154287
"CYP2A6",0.12757504362381,5.87355577900531,3.41318694171602,0.00136631819558626,0.491110447067948,-1.16404212199864
"MANSC1",-0.0719821949333276,4.77702829832655,-3.40031571866129,0.00141841211766033,0.491110447067948,-1.14107823489344
"CIB1",0.0740654251024465,8.53365577178385,3.39954249209615,0.0014216011111465,0.491110447067948,-1.2664040620242
"ERICH6-AS1",0.134250057532554,1.68537190475188,3.37671939329411,0.00151886428367594,0.491110447067948,-1.12235389923753
"PTK6",-0.0578702133683168,5.57212240844055,-3.37201926182014,0.00153966597450216,0.491110447067948,-1.25248049168941
"ABCD1",-0.0511565719548035,3.78299164464342,-3.36976640651701,0.00154973242681668,0.491110447067948,-1.1803172712779
"TMCO4",-0.0462521675323228,6.42391742563408,-3.36670097539622,0.00156353032559633,0.491110447067948,-1.30285744764769
"TCTEX1D4",0.15010924446569,4.4043569591073,3.36401536148137,0.00157571458887621,0.491110447067948,-1.22803454682037
"TCTEX1D2",0.151018538032901,3.73027588443954,3.35539413824533,0.00161544111517433,0.491110447067948,-1.21908077878168
"AGR3",0.131780624160015,4.56438072259189,3.34824100481382,0.00164912383413557,0.491110447067948,-1.27387653856625
"XDH",-0.0974216324859774,5.8207383653916,-3.33858398691669,0.00169565714987017,0.491110447067948,-1.34710812040071
"GP1BB",0.149411603607508,-0.182683775050514,3.3361201868435,0.00170772750017209,0.491110447067948,-1.27556297221739
"TPPP3",0.172302541291229,7.8886330005788,3.32427692786074,0.00176689679299145,0.491110447067948,-1.45523024002148
"STMND1",0.172017058242322,1.72042885479859,3.32156858552771,0.00178069871686006,0.491110447067948,-1.25680135033088
"CYP2A7",0.106250767861706,2.69102180606376,3.31632450562784,0.00180771453179955,0.491110447067948,-1.28672687226156
"CAPN5",-0.0541064422718742,8.22645782603849,-3.30690850292487,0.00185720221085094,0.491110447067948,-1.50473400433333
"ANKUB1",0.182413940518097,3.16301800315697,3.30630652476806,0.00186040937311741,0.491110447067948,-1.32170067676681
"ACAD8",-0.0556527350575582,6.3889302684978,-3.29164642792887,0.00194015617579597,0.491110447067948,-1.49735900461272
"TM4SF19-TCTEX1D2",0.138683872109138,2.74469159019427,3.29038063799421,0.0019471917470533,0.491110447067948,-1.34864708791155
"CCDC60",0.104834587822915,4.06965693921785,3.28648542354907,0.00196899443588778,0.491110447067948,-1.40814178488163
"LOC100506990",0.104955292400129,4.12169889061446,3.25947279625842,0.00212668443275974,0.491110447067948,-1.47941313545043
"CRIP1",0.109925010765063,7.25434750638457,3.2537407909235,0.00216165084965099,0.491110447067948,-1.62561034887987
