"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CDYL2",1.00588951073518,-0.663592417966659,2.7570997616228,0.00839339031603222,0.991925032723052,-4.42940945123899
"TRH",1.20565901674223,-0.148731573056595,2.75069792174741,0.00853466038685991,0.991925032723052,-4.39674816360879
"CCDC154",-1.01232494466591,-1.49316119274582,-2.74497541340621,0.0086627957724979,0.991925032723052,-4.48681016234894
"MIRLET7A3",-1.31412093354228,-2.75069225930383,-2.71733411834691,0.00930711078367936,0.991925032723052,-4.51521854618023
"SLC6A4",-1.63459541666276,-2.33215361828713,-2.71154897286074,0.00944743505837681,0.991925032723052,-4.5112128582885
"RHBDL1",-1.12350940747872,0.721649557281605,-2.71066558406822,0.00946903332093161,0.991925032723052,-4.40948859544941
"TMEM52",-1.27661849479241,-0.0992685923061954,-2.70935784260699,0.00950109027798274,0.991925032723052,-4.44919302692027
"TPGS1",-0.988206540578028,3.41528807022093,-2.70771383268121,0.00954153214835804,0.991925032723052,-4.22967553070553
"C11orf91",-0.784906759281384,0.503870266229522,-2.70658935327684,0.00956928509948415,0.991925032723052,-4.42345459812814
"KCNH7",1.54827234366943,-2.35068703167823,2.70134304358625,0.009699753385755,0.991925032723052,-4.47332147135793
"NEFL",-1.99869104533895,-3.66524055620367,-2.68153943069197,0.0102071427198933,0.991925032723052,-4.53275457035101
"ALPL",0.708953437158712,8.97100858112648,2.67083713718665,0.0104914026241539,0.991925032723052,-3.9522908666859
"SPEG",-1.19948688052983,-0.804978338829358,-2.66884189290298,0.0105451957790173,0.991925032723052,-4.47171542105387
"ELF4",0.406901853321439,5.2681588674621,2.66439262418451,0.0106660652835322,0.991925032723052,-4.08116317609008
"MDGA1",-1.10159681744486,0.774818699532532,-2.66028401518507,0.0107788096193138,0.991925032723052,-4.40738378417224
"THOC5",0.380373070191118,4.6783923029086,2.64978186209736,0.0110719927984352,0.991925032723052,-4.1285115333522
"FOXO4",0.346639469987431,4.27473958221119,2.64430717412773,0.0112277131123396,0.991925032723052,-4.16671221230162
"HAR1A",-1.7314871010686,-2.58906926450653,-2.64225068637491,0.0112867246541377,0.991925032723052,-4.51428712574361
"INHBC",-1.67980400646081,-2.34484737101512,-2.64223811463585,0.0112870862775827,0.991925032723052,-4.51479157141938
"TNF",1.25184228907818,1.04172239168885,2.64143548365912,0.011310195807204,0.991925032723052,-4.34583686323367
"FAM186A",-1.76572142787567,-3.78607607744839,-2.63467070424188,0.011506700445878,0.991925032723052,-4.53558761880417
"DSG1-AS1",-1.48932571880862,-3.86555690432503,-2.62513639634762,0.0117889735077322,0.991925032723052,-4.53459599296196
"IL17A",2.02193636308837,-3.4668043296889,2.62071562314563,0.0119219966312364,0.991925032723052,-4.5048166417001
"CD84",0.943531931693398,1.80142199999497,2.61805156562278,0.0120028220218113,0.991925032723052,-4.33009713938596
"FUT2",0.506869973298746,8.26577856573361,2.61540166474994,0.0120837155832076,0.991925032723052,-3.9907938667116
"SNHG19",-0.823816640449091,1.88456584424541,-2.61335097771361,0.0121466593266052,0.991925032723052,-4.36640304801906
"ABCA6",0.948744744725396,0.185588189407347,2.61150071748303,0.0122037086916946,0.991925032723052,-4.42039683900398
